,NO.,NAME,Team
0,1,Luis Abram,ATL
1,2,Pedro Amador,ATL
2,3,Stian Gregersen,ATL
3,4,Saba Lobjanidze,ATL
4,5,Alexey Miranchuk,ATL
5,6,Tristan Muyumba,ATL
6,7,Xande Silva,ATL
7,8,Bartosz Slisz,ATL
8,9,Jamal Thiaré,ATL
9,10,,ATL
10,1,Guilherme Biro,ATX
11,2,Osman Bukari,ATX
12,3,Mikkel Desler,ATX
13,4,Jáder Obrian,ATX
14,5,Dani Pereira,ATX
15,6,Oleksandr Svatok,ATX
16,7,Leo Väisänen,ATX
17,1,Allan Arigoni,CHI
18,2,Hugo Cuypers,CHI
19,3,Maren Haile-Selassie,CHI
20,4,Georgios Koutsias,CHI
21,5,Tobias Salquist,CHI
22,6,Laurence Wootton,CHI
23,7,,CHI
24,1,Marco Angulo,CIN
25,2,Chidozie Awaziem,CIN
26,3,Pavel Bucha,CIN
27,4,Teenage Hadebe,CIN
28,5,Kevin Kelsy,CIN
29,6,Obinna Nwobodo,CIN
30,7,Luca Orellano,CIN
31,1,Rudy Camacho,CLB
32,2,Dylan Chambost,CLB
33,3,Yevhen Cheberko,CLB
34,4,Mohamed Farsi,CLB
35,5,Cucho Hernández,CLB
36,6,Andrés Herrera,CLB
37,7,Marino Hinestroza,CLB
38,8,Alexandru Matan,CLB
39,9,Steven Moreira,CLB
40,10,Yaw Yeboah,CLB
41,1,Liel Abada,CLT
42,2,Pep Biel,CLT
43,3,Djibril Diani,CLT
44,4,Hamady Diop⭑,CLT
45,5,Adilson Malanda,CLT
46,6,Jamie Paterson,CLT
47,7,João Pedro,CLT
48,8,Nikola Petkovic,CLT
49,9,Karol Swiderski,CLT
50,10,luri Tavares,CLT
51,11,Idan Toklomati,CLT
52,12,Jere Uronen,CLT
53,13,Júnior Urso,CLT
54,14,Ashley Westwood,CLT
55,1,Kévin Cabral,COL
56,2,Remi Cabral,COL
57,3,Daniel Chacón,COL
58,4,Andreas Maxsø,COL
59,5,Rafael Navarro,COL
60,6,Connor Ronan,COL
61,1,Christian Benteke,DCU
62,2,Cristian Dájome,DCU
63,3,Boris Enow,DCU
64,4,Mateusz Klich,DCU
65,5,Matti Peltola,DCU
66,6,Martín Rodríguez,DCU
67,7,David Schnegg,DCU
68,1,Eugene Ansah,FCD
69,2,Manuel Cafumana,FCD
70,3,Geovane de Jesus,FCD
71,4,Patrickson Delgado,FCD
72,5,Asier Illarramendi,FCD
73,6,Petar Musa,FCD
74,7,Carl Sainté,FCD
75,8,Enes Sali,FCD
76,1,Ibrahim Aliyu,HOU
77,2,Stephen Annor Gyamfi,HOU
78,3,Latif Blessing,HOU
79,4,Lawrence Ennali,HOU
80,5,Sebastian Kowalczyk,HOU
81,6,Micael,HOU
82,7,Ezequiel Ponce,HOU
83,8,Nelson Quiñones,HOU
84,9,Erik Sviatchenko,HOU
85,10,Ousmane Sylla,HOU
86,11,Jefferson Valverde,HOU
87,1,Tomás Ángel,LAFC
88,2,Eduard Atuesta,LAFC
89,3,Mateusz Bogusz,LAFC
90,4,Dénis Bouanga,LAFC
91,5,Omar Campos,LAFC
92,6,Lorenzo Dellavalle,LAFC
93,7,Olivier Giroud,LAFC
94,8,Hugo Lloris,LAFC
95,9,Marlon,LAFC
96,10,David Martínez,LAFC
97,11,Luis Müller,LAFC
98,12,Lewis O'Brien,LAFC
99,13,Cristian Olivera,LAFC
100,14,Sergi Palencia,LAFC
101,1,Julián Aude,LAG
102,2,Aaron Bibout,LAG
103,3,Martín Cáceres,LAG
104,4,Emiro Garces,LAG
105,5,Dejan Joveljic,LAG
106,6,Novak Micovic,LAG
107,7,Joseph Paintsil,LAG
108,8,Gabriel Pec,LAG
109,9,Riqui Puig,LAG
110,10,Marco Reus,LAG
111,11,Gino Vivi,LAG
112,12,Miki Yamane,LAG
113,13,Maya Yoshida,LAG
114,1,Jordi Alba,MIA
115,2,Tomás Avilés,MIA
116,3,Yannick Bright,MIA
117,4,Sergio Busquets,MIA
118,5,Facundo Farías,MIA
119,6,Nicolás Freire,MIA
120,7,Diego Gómez,MIA
121,8,David Martínez,MIA
122,9,Lionel Messi,MIA
123,10,Federico Redondo,MIA
124,11,Matías Rojas,MIA
125,12,Luis Suárez,MIA
126,13,Óscar Ustari,MIA
127,14,Marcelo Weigandt,MIA
128,1,Hugo Bacharach,MIN
129,2,Alejandro Bran,MIN
130,3,Ethan Bristow,MIN
131,4,Jefferson Diaz,MIN
132,5,Morris Duggan,MIN
133,6,Sang Bin Jeong,MIN
134,7,Matúš Kmeť,MIN
135,8,Mikael Marques,MIN
136,9,Joaquín Pereyra,MIN
137,10,Teemu Pukki,MIN
138,11,Kelvin Yeboah,MIN
139,1,Dawid Bugaj,MTL
140,2,Matías Cóccaro,MTL
141,3,Gabriele Corbo,MTL
142,4,Sunusi Ibrahim,MTL
143,5,Lassi Lappalainen,MTL
144,6,Kwadwo Opoku,MTL
145,7,Tom Pearce,MTL
146,8,Joaquín Sosa,MTL
147,9,Róbert Thorkelsson,MTL
148,10,Victor Wanyama,MTL
149,1,Joshua Bolma,NER
150,2,Dylan Borrero,NER
151,3,Tomás Chancalay,NER
152,4,Nacho Gil,NER
153,5,Aljaž Ivačič,NER
154,6,Luca Langoni,NER
155,7,Alhassan Yusuf,NER
156,1,Forster Ajago,NSH
157,2,Lukas MacNaughton,NSH
158,3,Woobens Pacius,NSH
159,4,Jacob Shaffelburg,NSH
160,5,Sam Surridge,NSH
161,6,Patrick Yazbek,NSH
162,1,Mounsef Bakrar,NYC
163,2,Julián Fernández,NYC
164,3,Mitja llenic,NYC
165,4,Alonso Martínez,NYC
166,5,Jovan Mijatović,NYC
167,6,Maximiliano Moralez,NYC
168,7,Agustín Ojeda,NYC
169,8,Birk Risa,NYC
170,9,Strahinja Tanasijević,NYC
171,10,Hannes Wolf,NYC
172,1,Felipe Carballo,NYRB
173,2,Ronald Donkor,NYRB
174,3,Noah Eile,NYRB
175,4,Emil Forsberg,NYRB
176,5,Dennis Gjengaar,NYRB
177,6,Elias Manoel,NYRB
178,7,Juan José Mina,NYRB
179,8,Lewis Morgan,NYRB
180,9,Mohammed Sofo,NYRB
181,10,Dante Vanzeir,NYRB
182,1,Iván Angulo,ORL
183,2,David Brekalo,ORL
184,3,Wilder Cartagena,ORL
185,4,Ramiro Enrique,ORL
186,5,Pedro Gallese,ORL
187,6,Heine Gikling Bruseth,ORL
188,7,Shakur Mohammed,ORL
189,8,Luis Muriel,ORL
190,1,Tai Baribo,PHI
191,2,Jesús Bueno,PHI
192,3,Danley Jean Jacques,PHI
193,4,Olwethu Makhanya,PHI
194,5,Oliver Semmle,PHI
195,6,Joaquin Torres,PHI
196,1,Antony,POR
197,2,Miguel Araujo,POR
198,3,Evander,POR
199,4,James Pantemis,POR
200,5,Jonathan Rodríguez,POR
201,6,Finn Surman,POR
202,1,Matthew Bell,RSL
203,2,Lachlan Brook,RSL
204,3,Javain Brown,RSL
205,4,Noel Caliskan,RSL
206,5,Matt Crooks,RSL
207,6,Diogo Gonçalves,RSL
208,7,Bertin Jacquesson,RSL
209,8,Anderson Julio,RSL
210,9,Alexandros Katranis,RSL
211,10,Kevon Lambert,RSL
212,11,Dominik Marczuk,RSL
213,12,Braian Ojeda,RSL
214,13,Nelson Palacio,RSL
215,1,Pedro de la Vega,SEA
216,2,Georgi Minoungou,SEA
217,3,Braudilio Rodrigues,SEA
218,1,Carlos Akapo,SJE
219,2,Vitor Costa,SJE
220,3,Daniel,SJE
221,4,Hernán López,SJE
222,5,Amahl Pellegrino,SJE
223,6,Rodrigues,SJE
224,7,Bruno Wilson,SJE
225,8,,SJE
226,1,William Agada,SKC
227,2,Zorhan Bassong,SKC
228,3,Joaquin Fernandez,SKC
229,4,Tim Leibold,SKC
230,5,Alenis Vargas,SKC
231,1,Rasmus Alm,STL
232,2,Njabulo Blom,STL
233,3,Roman Bürki,STL
234,4,Jake Girdwood-Reich,STL
235,5,Marcel Hartel,STL
236,6,Jannes Horn,STL
237,7,Hosei Kijima,STL
238,8,João Klauss,STL
239,9,Tomas Ostrak,STL
240,10,Selmir Pidro,STL
241,11,Cedric Teuchert,STL
242,12,Nökkvi Thórisson,STL
243,1,Federico Bernardeschi ,TOR
244,2,Alonso Coello,TOR
245,3,Deybi Flores,TOR
246,4,Nicksoen Gomis,TOR
247,5,Lorenzo Insigne ,TOR
248,6,Kevin Long,TOR
249,7,Matty Longstaff,TOR
250,8,Cassius Mailula,TOR
251,9,Prince Owusu,TOR
252,10,Raoul Petretta ,TOR
253,11,Sigurd Rosted,TOR
254,12,Tyrese Spicer,TOR
255,1,Stuart Armstrong,VAN
256,2,Giuseppe Bovalina,VAN
257,3,Déiber Caicedo,VAN
258,4,Andrés Cubas ,VAN
259,5,Ryan Gauld ,VAN
260,6,Bjørn Inge Utvik,VAN
261,7,Mathias Laborda,VAN
262,8,Édier Ocampo,VAN
263,9,J.C. Ngando,VAN
264,10,Alessandro Schöpf,VAN
265,11,Yohei Takaoka,VAN
266,12,Ranko Veselinović ,VAN
267,13,Pedro Vite,VAN
