Player,Jersey #,Position,Roster Category,Player Category,Player Status
J. Atencio,8,Midfielder,Senior,Homegrown,
C. Baker,33,Defender,Supplemental Slots 29-30,Homegrown,
R. Baker-Whiting,21,Midfielder,Supplemental Slots 29-30,Homegrown,
J. Bell,15,Defender,Supplemental Slots 21-24,,
L. Burney,4,Defender,,,
J. Castro,29,Goalkeeper,Supplemental Slots 25-28,Homegrown,
Léo Chú,23,Midfielder,Senior,U22 Initiative,
S. Frei,24,Goalkeeper,Senior,,
Yeimar,28,Defender,Senior,International,
S. Hawkins,39,Defender,,Homegrown,
Danny Leyva,75,Midfielder,Supplemental Slots 25-28,Homegrown,
G. Minoungou,93,Forward,,,
João Paulo,6,Midfielder,Senior,,
J. Morris,13,Forward,Senior,,
Danny Musovski,17,Forward,Supplemental Slots 21-24,,
J. Ragen,25,Defender,Supplemental Slots 25-28,,
Braudílio Rodrigues,27,Forward,,,
Cristian Roldan,7,Midfielder,Senior,,
A. Roldan,16,Defender,Senior,,
P. Rothrock,14,Forward,,,
A. Rusnák,11,Midfielder,Senior,Designated Player,
T. Sousa,31,Defender,,,
A. Thomas,26,Goalkeeper,Supplemental Slots 21-24,,
Nouhou,5,Defender,Senior,,
O. Vargas,18,Midfielder,Supplemental Slots 25-28,Homegrown,
P. de la Vega,10,Forward,,Young Designated Player,
